date,description,source
1/15/2025,"You can easily trigger a large avalanche. Observers continue to report remote triggering large avalanches from a distance. Obvious signs of instability like cracking and collapsing are diminishing. The first warning you may get is the crack of an avalanche as you get enveloped in moving snow. Slopes with a lot of wind-drifted snow will produce the largest avalanches; the edges of pillows and steep rocky areas will be the easiest places to trigger an avalanche. With such tricky conditions, avoiding steep slopes is the only way to reduce your hazard.
You can easily trigger a large avalanche. Observers continue to report remote triggering large avalanches from a distance. Obvious signs of instability like cracking and collapsing are diminishing. The first warning you may get is the crack of an avalanche as you get enveloped in moving snow. Slopes with a lot of wind-drifted snow will produce the largest avalanches; the edges of pillows and steep rocky areas will be the easiest places to trigger an avalanche. With such tricky conditions, avoiding steep slopes is the only way to reduce your hazard.",caic
1/14/2025,"Continued reports of collapsing sounds indicate the snowpack is still dangerous and you can trigger large avalanches. The most dangerous slopes are north through southeast-facing slopes located directly below the ridgetop.The only way to avoid tangling with one of these large and destructive avalanches is to steer clear of steep slopes. Obvious signs of instability, such as shooting cracks and sounds of the snowpack collapsing, are decreasing. Don't mistake the absence of these warning signs for safer conditions.
Continued reports of collapsing sounds indicate the snowpack is still dangerous and you can trigger large avalanches. The most dangerous slopes are north through southeast-facing slopes located directly below the ridgetop.
The only way to avoid tangling with one of these large and destructive avalanches is to steer clear of steep slopes. Obvious signs of instability, such as shooting cracks and sounds of the snowpack collapsing, are decreasing. Don't mistake the absence of these warning signs for safer conditions.",caic
1/13/2025,"Recent avalanche activity from Cameron Pass to I-70 shows that large and deadly avalanches breaking near the ground are still likely. There was another large remotely triggered avalanche near Jones Pass on Saturday.The only way to avoid tangling with one of these large and destructive avalanches is to steer clear of steep slopes. Obvious signs of instability, such as shooting cracks and sounds of the snowpack collapsing, are decreasing. Don't mistake the absence of these warning signs for safer conditions.
Recent avalanche activity from Cameron Pass to I-70 shows that large and deadly avalanches breaking near the ground are still likely. There was another large remotely triggered avalanche near Jones Pass on Saturday.
The only way to avoid tangling with one of these large and destructive avalanches is to steer clear of steep slopes. Obvious signs of instability, such as shooting cracks and sounds of the snowpack collapsing, are decreasing. Don't mistake the absence of these warning signs for safer conditions.",caic
1/12/2025,"You can trigger a deadly avalanche on many slopes. You might trigger a small slide in recently drifted snow, but the bigger hazard is slides that break deeply into the snowpack. Obvious signs that you can trigger a deep, dangerous slide, like booming, rumbling collapses, are diminishing. Yet observers continue to report large avalanches, many triggered remotely and some releasing naturally. Cracking only in drifted snow is a signal you can trigger a slide. Avoid steep slopes where you see this sign; small slides close to the surface can trigger larger, deeper avalanches. You can find safer travel on low-angled slopes well away from steep terrain.
You can trigger a deadly avalanche on many slopes. You might trigger a small slide in recently drifted snow, but the bigger hazard is slides that break deeply into the snowpack. Obvious signs that you can trigger a deep, dangerous slide, like booming, rumbling collapses, are diminishing. Yet observers continue to report large avalanches, many triggered remotely and some releasing naturally. Cracking only in drifted snow is a signal you can trigger a slide. Avoid steep slopes where you see this sign; small slides close to the surface can trigger larger, deeper avalanches. You can find safer travel on low-angled slopes well away from steep terrain.",caic
1/11/2025,"Avalanche conditions are dangerous; new snow and wind on Saturday keep them that way. You can trigger a deadly avalanche on many slopes. You might trigger a small slide in recently drifted snow, but the bigger hazard is slides that break deeply into the snowpack. Obvious signs that you can trigger a deep, dangerous slide, like booming, rumbling collapses, are diminishing. Yet observers continue to report large avalanches, many triggered remotely and some releasing naturally. Cracking just in drifted snow is a sign you can trigger a slide closer to the surface. Avoid steep slopes where you see this sign; small slides close to the surface can trigger larger, deeper avalanches. You can find safer travel on low-angled slopes well away from steep terrain.
Avalanche conditions are dangerous; new snow and wind on Saturday keep them that way. You can trigger a deadly avalanche on many slopes. You might trigger a small slide in recently drifted snow, but the bigger hazard is slides that break deeply into the snowpack. Obvious signs that you can trigger a deep, dangerous slide, like booming, rumbling collapses, are diminishing. Yet observers continue to report large avalanches, many triggered remotely and some releasing naturally. Cracking just in drifted snow is a sign you can trigger a slide closer to the surface. Avoid steep slopes where you see this sign; small slides close to the surface can trigger larger, deeper avalanches. You can find safer travel on low-angled slopes well away from steep terrain.",caic
1/10/2025,"Avalanche conditions are dangerous; you can trigger a deadly avalanche on many slopes. Obvious signs of unstable snow like cracking and collapsing are diminishing. Yet observers continue to report large avalanches, many triggered remotely. With less feedback from the snow, it gets easier to talk yourself into steep terrain. Don't let the first warning sign you see be a large slide with you under it. Heavily drifted slopes are the most dangerous and are where you'll trigger the largest avalanches. You can find safer travel on low-angled slopes well away from steep terrain.
Avalanche conditions are dangerous; you can trigger a deadly avalanche on many slopes. Obvious signs of unstable snow like cracking and collapsing are diminishing. Yet observers continue to report large avalanches, many triggered remotely. With less feedback from the snow, it gets easier to talk yourself into steep terrain. Don't let the first warning sign you see be a large slide with you under it. Heavily drifted slopes are the most dangerous and are where you'll trigger the largest avalanches. You can find safer travel on low-angled slopes well away from steep terrain.",caic
1/9/2025,"Avalanche conditions are very dangerous, and you can trigger a deadly avalanche on many slopes. Obvious signs like cracking and collapsing are diminishing, yet observers report large avalanches, many triggered remotely daily. As warning signs reduce, it gets easier to talk yourself into steep terrain, but the first sign you may get is a large slide with you under it. Slopes that have been heavily wind-drifted will be the most dangerous. You can find safer travel on low-angled slopes well away from steep terrain.
Avalanche conditions are very dangerous, and you can trigger a deadly avalanche on many slopes. Obvious signs like cracking and collapsing are diminishing, yet observers report large avalanches, many triggered remotely daily. As warning signs reduce, it gets easier to talk yourself into steep terrain, but the first sign you may get is a large slide with you under it. Slopes that have been heavily wind-drifted will be the most dangerous. You can find safer travel on low-angled slopes well away from steep terrain.",caic
1/8/2025,"You can trigger a deadly avalanche on most slopes. Many observers have reported triggering avalanches over 100 yards away on ridges or flat ground. You may not get any warning signs before triggering a very large avalanche. The most deadly slopes will be steep slopes where winds have drifted snow into thicker slabs, but the easiest slopes to trigger will be in shallow rocky terrain or areas that previously slid. This makes safe travel difficult, so give slopes steeper than 30 degrees a wide birth.
You can trigger a deadly avalanche on most slopes. Many observers have reported triggering avalanches over 100 yards away on ridges or flat ground. You may not get any warning signs before triggering a very large avalanche. The most deadly slopes will be steep slopes where winds have drifted snow into thicker slabs, but the easiest slopes to trigger will be in shallow rocky terrain or areas that previously slid. This makes safe travel difficult, so give slopes steeper than 30 degrees a wide birth.",caic
1/7/2025,"You can trigger a deadly avalanche on most slopes. Many observers have reported triggering avalanches over 100 yards away on ridges or flat ground. You may not get any warning signs before triggering a very large avalanche. The most deadly slopes will be steep slopes where winds have drifted snow into thicker slabs, but the easiest slopes to trigger will be in shallow rocky terrain or areas that previously slid. This makes safe travel difficult, so give slopes steeper than 30 degrees a wide birth.
You can trigger a deadly avalanche on most slopes. Many observers have reported triggering avalanches over 100 yards away on ridges or flat ground. You may not get any warning signs before triggering a very large avalanche. The most deadly slopes will be steep slopes where winds have drifted snow into thicker slabs, but the easiest slopes to trigger will be in shallow rocky terrain or areas that previously slid. This makes safe travel difficult, so give slopes steeper than 30 degrees a wide birth.",caic
1/6/2025,"You can easily trigger an avalanche large enough to injure or kill you on many steep slopes. Before triggering an avalanche, you may not see obvious signs of instability, like cracking or collapsing in the snow. You can trigger an avalanche from far away or in flat areas below steep slopes. Although you can trigger avalanches in many places, wind-drifted steep slopes directly below ridgetop can produce the largest and deadliest avalanches. Give these slopes a wide berth.
You can easily trigger an avalanche large enough to injure or kill you on many steep slopes. Before triggering an avalanche, you may not see obvious signs of instability, like cracking or collapsing in the snow. You can trigger an avalanche from far away or in flat areas below steep slopes. Although you can trigger avalanches in many places, wind-drifted steep slopes directly below ridgetop can produce the largest and deadliest avalanches. Give these slopes a wide berth.",caic
